"OBJECTID_1","OBJECTID","HAZUSID","Name","Address","City","Zip","COUNTY","X","Y","LONGLAT","USNG","OWNERSHIP","PARCELID","FACILITY_T","TTL_BEDS","EFCLASS","Asset_Elevation","Owned_Maintained","Asset","Asset_Sub_Type","Asset_Type","Asset_Group","Asset_Relevancy","Asset_ID","Municipality","Water_Management_District","Souce_Dataset_Entity","Souce_Dataset_Name","Source_Asset_ID","Restricted_Public_Disclosure","Notes","Regional_Planning_Council","FDEP_Regulatory_District","RCP_Region","FDOT_District","House_District_Number","Senate_District_Number","CTF_RL_2020","CTF_RL_2040_IL","CTF_RL_2040_INT","CTF_RL_2070_IL","CTF_RL_2070_INT","SSF_RL_100YR_CURR","SSF_RL_100YR_2040_IL","SSF_RL_100YR_2040_INT","SSF_RL_100YR_2070_IL","SSF_RL_100YR_2070_INT","SSF_RL_500YR_CURR","SSF_RL_500YR_2040_IL","SSF_RL_500YR_2040_INT","SSF_RL_500YR_2070_IL","SSF_RL_500YR_2070_INT","RIF_RL_100YR_2020","RIF_RL_100YR_2040","RIF_RL_100YR_2070","RIF_RL_500YR_2020","RIF_RL_500YR_2040","RIF_RL_500YR_2070"
"36","36"," ","HOLY CROSS HOSP INC","4725 N FEDERAL HWY","FORT LAUDERDALE","33308","Broward","-80.11860949","26.18673459","-80.11860949,26.18673459","17R NJ 88069 96662"," "," ","HOSPITAL - ACUTE CARE","557","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_36","Fort Lauderdale","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","100","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"37","37"," ","NORTHWEST MEDICAL CNTR","2801 N STATE RD 7","MARGATE","33063","Broward","-80.20229839","26.26308837","-80.20229839,26.26308837","17R NK 79655 05065"," "," ","HOSPITAL - ACUTE CARE","228","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_37","Margate","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","95","30","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"38","38"," ","NORTH SHORE MED CNTR/FMC CAMPUS","5000 W OAKLAND PARK BLVD","LAUDERDALE LAKES","33313","Broward","-80.21857736","26.16304106","-80.21857736,26.16304106","17R NJ 78096 93974"," "," ","HOSPITAL - ACUTE CARE","459","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_38","Lauderdale Lakes","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","97","32","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium"
"39","39"," ","MEMORIAL HOSPITAL MIRAMAR","1901 SW  172ND AVE","MIRAMAR","33029","Broward","-80.37276267","25.99165811","-80.37276267,25.99165811","17R NJ 62777 74910"," "," ","HOSPITAL - ACUTE CARE","178","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_39","Miramar","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","103","35","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"40","40"," ","MEMORIAL HOSPITAL WEST","703 N FLAMINGO RD","PEMBROKE PINES","33028","Broward","-80.31128852","26.01307342","-80.31128852,26.01307342","17R NJ 68918 77313"," "," ","HOSPITAL - ACUTE CARE","384","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_40","Pembroke Pines","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","104","35","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"41","41"," ","BROWARD HEALTH IMPERIAL POINT","6401 N FEDERAL HWY","FORT LAUDERDALE","33308","Broward","-80.11133432","26.20681423","-80.11133432,26.20681423","17R NJ 88781 98891"," "," ","HOSPITAL - ACUTE CARE","204","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_41","Fort Lauderdale","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","100","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Medium","Medium","High","High","High","High","High","Medium","Medium","Medium","Medium","Medium","Medium"
"42","42"," ","ATLANTIC SHORES HOSP","4545 N FEDERAL HWY","FORT LAUDERDALE","33308","Broward","-80.11855531","26.18448426","-80.11855531,26.18448426","17R NJ 88076 96413"," "," ","HOSPITAL","72","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_42","Fort Lauderdale","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","100","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"43","43"," ","HOLLYWOOD PAVILION","1201 N 37TH AVE","HOLLYWOOD","33021","Broward","-80.180797","26.020906","-80.18079700,26.02090600","17R NJ 81971 78256"," "," ","HOSPITAL","50","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_43","Hollywood","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","105","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"44","44"," ","KINDRED HOSP/S FLORIDA/FT LAUD","1516 E LAS OLAS BLVD","FORT LAUDERDALE","33301","Broward","-80.12766802","26.1192095","-80.12766802,26.11920950","17R NJ 87214 89177"," "," ","HOSPITAL","70","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_44","Fort Lauderdale","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","100","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","Medium"
"45","45"," ","HEALTHSOUTH SUNRISE REHAB HOSP","4399 NOB HILL RD","SUNRISE","33351","Broward","-80.28444503","26.17785514","-80.28444503,26.17785514","17R NJ 71504 95577"," "," ","HOSPITAL","126","EFHL",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_45","Sunrise","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","96","32","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Medium"
"46","46"," ","KINDRED HOSP/S FLORIDA/HOLLYWOOD","1859 VAN BUREN ST","HOLLYWOOD","33020","Broward","-80.144343","26.00978669","-80.14434300,26.00978669","17R NJ 85627 77048"," "," ","HOSPITAL","119","EFHL",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_46","Hollywood","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","101","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low"
"47","47"," ","ST ANTHONY'S REHABILITATION HOSPITAL","3487 NW 30TH ST","LAUDERDALE LAKES","33311","Broward","-80.1934962","26.16370472","-80.19349620,26.16370472","17R NJ 80602 94063"," "," ","HOSPITAL","26","EFHS",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_47","Lauderdale Lakes","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","98","32","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"48","48"," ","FT LAUDERDALE HOSP","1601 E LAS OLAS BLVD","FORT LAUDERDALE","33301","Broward","-80.12674654","26.11965888","-80.12674654,26.11965888","17R NJ 87306 89228"," "," ","HOSPITAL","100","EFHM",,,"HOSPITAL",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_48","Fort Lauderdale","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","100","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"49","49"," ","MEMORIAL HOSPITAL PEMBROKE","7800 SHERIDAN ST","PEMBROKE PINES","33024","Broward","-80.24645803","26.02968522","-80.24645803,26.02968522","17R NJ 75395 79188"," "," ","HOSPITAL - ACUTE CARE","301","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_49","Pembroke Pines","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","105","35","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Low","Medium","Medium","Medium","High","Low","Low","Low","Medium","Medium","Medium"
"50","50"," ","WESTSIDE REGIONAL MEDICAL CENTER","8201 W BROWARD BLVD","PLANTATION","33324","Broward","-80.26017627","26.12361489","-80.26017627,26.12361489","17R NJ 73963 89583"," "," ","HOSPITAL - ACUTE CARE","224","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_50","Plantation","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","102","32","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","Medium","Medium","Medium","Medium","Medium","Medium","Medium"
"51","51"," ","MEMORIAL REGIONAL HOSPITAL SOUTH","3600 WASHINGTON ST","HOLLYWOOD","33021","Broward","-80.1799101","26.00243612","-80.17991010,26.00243612","17R NJ 82072 76211"," "," ","HOSPITAL - ACUTE CARE","267","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_51","Hollywood","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","105","37","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"52","52"," ","PLANTATION GENERAL HOSPITAL","401 NW 42ND AVE","PLANTATION","33317","Broward","-80.20578066","26.1259189","-80.20578066,26.12591890","17R NJ 79400 89871"," "," ","HOSPITAL - ACUTE CARE","364","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_52","Plantation","South Florida Water Management District","FDEM","Hospitals - FDEM",,,,"South Florida","Southeast District","Southeast","4","99","32","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"53","53"," ","CALHOUN-LIBERTY HOSP","20370 NE BURNS AVE","BLOUNTSTOWN","32424","Calhoun","-85.05009111","30.45843904","-85.05009111,30.45843904","16R FU 87211 71201"," "," ","HOSPITAL - ACUTE CARE","25","EFHS",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_53","Blountstown","Northwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Apalachee","Northwest District","Northwest","3","5","2","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"54","54"," ","FAWCETT MEMORIAL HOSPITAL","21298 OLEAN BLVD","PORT CHARLOTTE","33952","Charlotte","-82.09831509","26.98840069","-82.09831509,26.98840069","17R LK 91015 85624"," "," ","HOSPITAL - ACUTE CARE","237","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_54",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","75","27","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Medium","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"55","55"," ","CHARLOTTE REGIONAL MEDICAL CENTER","809 E MARION AVE","PUNTA GORDA","33950","Charlotte","-82.03985766","26.94083026","-82.03985766,26.94083026","17R LK 96773 80306"," "," ","HOSPITAL - ACUTE CARE","208","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_55","Punta Gorda","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","76","27","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","High","High","High","High","High","High","High","High","High","High","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"56","56"," ","PEACE RIVER REGIONAL MEDICAL CNTR","2500 HARBOR BLVD","PORT CHARLOTTE","33952","Charlotte","-82.09575217","26.98894384","-82.09575217,26.98894384","17R LK 91270 85682"," "," ","HOSPITAL - ACUTE CARE","254","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_56",,"Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Southwest Florida","South District","Southwest","1","75","27","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Low","Medium","Medium","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
"57","57"," ","CITRUS MEMORIAL HOSP","502 HIGHLAND BLVD","INVERNESS","34452","Citrus","-82.33544165","28.83356199","-82.33544165,28.83356199","17R LM 69713 90278"," "," ","HOSPITAL - ACUTE CARE","204","EFHL",,,"HOSPITAL - ACUTE CARE",,"Hospitals","Critical Community and Emergency Facilities","Locally Significant","HOSP_PT_57","Inverness","Southwest Florida Water Management District","FDEM","Hospitals - FDEM",,,,"Tampa Bay","Southwest District","Northwest","7","23","11","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected","Not Affected"
